Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue
SRR5353397,ATAC-seq,152,21405096,PRJNA379613,SAMN06613361,6653704,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649622,GSM2540319,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540319,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353398,ATAC-seq,152,23301752,PRJNA379613,SAMN06613360,7726512,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649623,GSM2540320,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540320,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353399,ATAC-seq,152,14195432,PRJNA379613,SAMN06613359,4061513,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649624,GSM2540321,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540321,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353400,ATAC-seq,152,25969048,PRJNA379613,SAMN06613358,8498544,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649625,GSM2540322,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540322,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353401,ATAC-seq,152,17331800,PRJNA379613,SAMN06613357,5740187,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649626,GSM2540323,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540323,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353402,ATAC-seq,152,11840496,PRJNA379613,SAMN06613356,3941441,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649627,GSM2540324,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540324,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353403,ATAC-seq,152,20280752,PRJNA379613,SAMN06613355,6518642,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649628,GSM2540325,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540325,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353404,ATAC-seq,152,14673624,PRJNA379613,SAMN06613354,4248651,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649629,GSM2540326,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540326,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353405,ATAC-seq,152,13788072,PRJNA379613,SAMN06613353,3890736,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649630,GSM2540327,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540327,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353406,ATAC-seq,152,10936552,PRJNA379613,SAMN06613352,3233503,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649631,GSM2540328,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540328,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353407,ATAC-seq,152,60506640,PRJNA379613,SAMN06613351,20730974,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649632,GSM2540329,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540329,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353408,ATAC-seq,152,27050528,PRJNA379613,SAMN06613350,9020884,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649633,GSM2540330,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540330,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353409,ATAC-seq,152,32558400,PRJNA379613,SAMN06613349,10882283,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649634,GSM2540331,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540331,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353410,ATAC-seq,152,17113528,PRJNA379613,SAMN06613348,5828949,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649635,GSM2540332,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540332,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353411,ATAC-seq,152,13050112,PRJNA379613,SAMN06613345,3752748,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649636,GSM2540333,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540333,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353412,ATAC-seq,152,19217968,PRJNA379613,SAMN06613344,5982468,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649637,GSM2540334,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540334,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353413,ATAC-seq,152,24091848,PRJNA379613,SAMN06613343,7600575,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649638,GSM2540335,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540335,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353414,ATAC-seq,152,16915928,PRJNA379613,SAMN06613342,5309710,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649639,GSM2540336,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540336,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353415,ATAC-seq,152,27629040,PRJNA379613,SAMN06613251,8719175,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649640,GSM2540337,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540337,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353416,ATAC-seq,152,28082000,PRJNA379613,SAMN06613250,9119317,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649641,GSM2540338,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540338,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353417,ATAC-seq,152,36591264,PRJNA379613,SAMN06613347,12140600,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649642,GSM2540339,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540339,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353418,ATAC-seq,152,35531368,PRJNA379613,SAMN06613346,11811320,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649643,GSM2540340,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540340,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353419,ATAC-seq,152,26913424,PRJNA379613,SAMN06613249,8386411,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649644,GSM2540341,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540341,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353420,ATAC-seq,152,27947480,PRJNA379613,SAMN06613248,9016599,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649645,GSM2540342,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540342,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353421,ATAC-seq,152,16301088,PRJNA379613,SAMN06613247,4724139,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649646,GSM2540343,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540343,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353422,ATAC-seq,152,31152248,PRJNA379613,SAMN06613246,10312949,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649647,GSM2540344,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540344,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353423,ATAC-seq,152,27892912,PRJNA379613,SAMN06613245,8935623,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649648,GSM2540345,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540345,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353424,ATAC-seq,152,24701368,PRJNA379613,SAMN06613244,7774398,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649649,GSM2540346,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540346,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353425,ATAC-seq,152,23090168,PRJNA379613,SAMN06613243,7320546,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649650,GSM2540347,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540347,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353426,ATAC-seq,152,12945384,PRJNA379613,SAMN06613242,3807418,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649651,GSM2540348,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540348,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353427,ATAC-seq,152,28237952,PRJNA379613,SAMN06613241,9067611,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649652,GSM2540349,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540349,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353428,ATAC-seq,152,22308432,PRJNA379613,SAMN06613240,6895333,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649653,GSM2540350,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540350,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353429,ATAC-seq,152,20008976,PRJNA379613,SAMN06613239,6132937,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649654,GSM2540351,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540351,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353430,ATAC-seq,152,24775848,PRJNA379613,SAMN06613238,8013896,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649655,GSM2540352,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540352,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353431,ATAC-seq,152,22988632,PRJNA379613,SAMN06613237,7086589,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649656,GSM2540353,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540353,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353432,ATAC-seq,152,43112216,PRJNA379613,SAMN06613325,14508098,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649657,GSM2540354,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540354,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353433,ATAC-seq,152,15519048,PRJNA379613,SAMN06613324,4533280,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649658,GSM2540355,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540355,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353434,ATAC-seq,152,30586656,PRJNA379613,SAMN06613323,10363304,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649659,GSM2540356,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540356,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353435,ATAC-seq,152,24017520,PRJNA379613,SAMN06613322,7729941,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649660,GSM2540357,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540357,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353436,ATAC-seq,152,14637752,PRJNA379613,SAMN06613321,4163191,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649661,GSM2540358,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540358,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353437,ATAC-seq,152,21338216,PRJNA379613,SAMN06613320,6925446,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649662,GSM2540359,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540359,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353438,ATAC-seq,152,15228576,PRJNA379613,SAMN06613319,4715043,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649663,GSM2540360,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540360,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353439,ATAC-seq,152,32611296,PRJNA379613,SAMN06613318,10741875,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649664,GSM2540361,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540361,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353440,ATAC-seq,152,30761152,PRJNA379613,SAMN06613317,10181493,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649665,GSM2540362,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540362,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353441,ATAC-seq,152,39468168,PRJNA379613,SAMN06613316,13227873,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649666,GSM2540363,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540363,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353442,ATAC-seq,152,32551864,PRJNA379613,SAMN06613315,10945494,HSC,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649667,GSM2540364,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540364,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
SRR5353443,ATAC-seq,152,15412496,PRJNA379613,SAMN06613314,4195721,HSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2649668,GSM2540365,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-04-29T00:00:00Z,GSM2540365,Bone Marrow CD34+,SRP102089,CD34+ Bone Marrow
