Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2540366,"BM1077-HSC-Frozen-160105-68","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649669",SRX2649669,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540367,"BM1077-HSC-Frozen-160105-69","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649670",SRX2649670,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540368,"BM1077-HSC-Frozen-160105-70","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649671",SRX2649671,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540369,"BM1077-HSC-Frozen-160105-71","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649672",SRX2649672,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540370,"BM1077-HSC-Frozen-160105-72","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649673",SRX2649673,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540371,"BM1077-HSC-Frozen-160105-73","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649674",SRX2649674,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540372,"BM1077-HSC-Frozen-160105-74","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649675",SRX2649675,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540373,"BM1077-HSC-Frozen-160105-75","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649676",SRX2649676,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540374,"BM1077-HSC-Frozen-160105-76","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649677",SRX2649677,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540375,"BM1077-HSC-Frozen-160105-77","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649678",SRX2649678,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540376,"BM1077-HSC-Frozen-160105-78","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649679",SRX2649679,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540377,"BM1077-HSC-Frozen-160105-79","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649680",SRX2649680,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540378,"BM1077-HSC-Frozen-160105-80","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649681",SRX2649681,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540379,"BM1077-HSC-Frozen-160105-81","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649682",SRX2649682,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540380,"BM1077-HSC-Frozen-160105-82","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649683",SRX2649683,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540381,"BM1077-HSC-Frozen-160105-83","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649684",SRX2649684,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540382,"BM1077-HSC-Frozen-160105-84","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649685",SRX2649685,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540383,"BM1077-HSC-Frozen-160105-85","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649686",SRX2649686,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540384,"BM1077-HSC-Frozen-160105-86","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649687",SRX2649687,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540385,"BM1077-HSC-Frozen-160105-87","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649688",SRX2649688,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540386,"BM1077-HSC-Frozen-160105-88","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649689",SRX2649689,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540387,"BM1077-HSC-Frozen-160105-89","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649690",SRX2649690,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540388,"BM1077-HSC-Frozen-160105-90","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649691",SRX2649691,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540389,"BM1077-HSC-Frozen-160105-91","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649692",SRX2649692,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540390,"BM1077-HSC-Frozen-160105-92","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649693",SRX2649693,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540391,"BM1077-HSC-Frozen-160105-93","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649694",SRX2649694,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540392,"BM1077-HSC-Frozen-160105-94","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649695",SRX2649695,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540393,"BM1077-HSC-Frozen-160105-95","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649696",SRX2649696,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540394,"BM1077-HSC-Frozen-160105-96","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649697",SRX2649697,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540395,"singles-BM0106-HSC-LS-160219-1","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649698",SRX2649698,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540396,"singles-BM0106-HSC-LS-160219-2","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649699",SRX2649699,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540397,"singles-BM0106-HSC-LS-160219-3","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649700",SRX2649700,"Jason Daniel Buenrostro","Apr 26, 2018"
GSM2540398,"singles-BM0106-HSC-LS-160219-4","SRA","Homo sapiens",1,GPL18573,GSE96769;GSE96772,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2649701",SRX2649701,"Jason Daniel Buenrostro","Apr 26, 2018"
