"Run"	"Sample Name"	"Title"	"Cell_type"	"Donor"	"Assay Type"	"AvgSpotLen"	"Bases"	"BioProject"	"BioSample"	"Bytes"	"Center Name"	"Consent"	"DATASTORE filetype"	"DATASTORE provider"	"DATASTORE region"	"Experiment"	"GEO_Accession (exp)"	"Instrument"	"LibraryLayout"	"LibrarySelection"	"LibrarySource"	"Organism"	"Platform"	"ReleaseDate"	"source_name"	"SRA Study"	"discard"
"SRR5355897"	"GSM2542830"	"singles-160809-scATAC-BM1137-GMP1low-LS-30"	"GMP"	"BM1137"	"ATAC-seq"	152	56722296	"PRJNA379613"	"SAMN06615869"	22750441	"GEO"	"public"	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2652122"	"GSM2542830"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354151"	"GSM2541073"	"BM1077-CMP-Frozen-160106-7"	"CMP"	"BM1077"	"ATAC-seq"	152	62351768	"PRJNA379613"	"SAMN06614014"	20314339	"GEO"	"public"	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2650376"	"GSM2541073"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355582"	"GSM2542515"	"singles-160818-BM1137-pDC-LS-3"	"pDC"	"BM1137"	"ATAC-seq"	152	51777736	"PRJNA379613"	"SAMN06615782"	19368389	"GEO"	"public"	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2651807"	"GSM2542515"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356120"	"GSM2543053"	"singles-20160726-scATAC-BM1137-GMP3high-HYC-61"	"GMP"	"BM1137"	"ATAC-seq"	152	106777416	"PRJNA379613"	"SAMN06615009"	42626163	"GEO"	"public"	"fastq,sra"	"gs,s3"	"gs.US,s3.us-east-1"	"SRX2652345"	"GSM2543053"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354506"	"GSM2541434"	"singles-20160617-scATAC-BM1214-CMP-LS-74"	"CMP"	"BM1214"	"ATAC-seq"	152	107754168	"PRJNA379613"	"SAMN06614409"	41591738	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2650731"	"GSM2541434"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354376"	"GSM2541298"	"singles-20160617-scATAC-BM1077-CMP-HYC-40"	"CMP"	"BM1077"	"ATAC-seq"	152	78519552	"PRJNA379613"	"SAMN06613570"	30950192	"GEO"	"public"	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2650601"	"GSM2541298"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354182"	"GSM2541104"	"BM1077-CMP-Frozen-160106-38"	"CMP"	"BM1077"	"ATAC-seq"	152	62460448	"PRJNA379613"	"SAMN06613657"	21301992	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2650407"	"GSM2541104"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355187"	"GSM2542120"	"BM1077-MEP-Frozen-160107-88"	"MEP"	"BM1077"	"ATAC-seq"	152	99107192	"PRJNA379613"	"SAMN06615392"	38190490	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2651412"	"GSM2542120"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354501"	"GSM2541429"	"singles-20160617-scATAC-BM1214-CMP-LS-69"	"CMP"	"BM1214"	"ATAC-seq"	152	99242168	"PRJNA379613"	"SAMN06614414"	39418612	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2650726"	"GSM2541429"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355670"	"GSM2542603"	"singles-160818-BM1137-pDC-LS-91"	"pDC"	"BM1137"	"ATAC-seq"	152	56314784	"PRJNA379613"	"SAMN06615272"	20818348	"GEO"	"public"	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2651895"	"GSM2542603"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356123"	"GSM2543056"	"singles-20160726-scATAC-BM1137-GMP3high-HYC-64"	"GMP"	"BM1137"	"ATAC-seq"	152	101524600	"PRJNA379613"	"SAMN06615006"	40449826	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2652348"	"GSM2543056"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355613"	"GSM2542546"	"singles-160818-BM1137-pDC-LS-34"	"pDC"	"BM1137"	"ATAC-seq"	152	63496784	"PRJNA379613"	"SAMN06615800"	23517289	"GEO"	"public"	"sra,fastq"	"gs,s3"	"gs.US,s3.us-east-1"	"SRX2651838"	"GSM2542546"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355901"	"GSM2542834"	"singles-160809-scATAC-BM1137-GMP1low-LS-34"	"GMP"	"BM1137"	"ATAC-seq"	152	81266496	"PRJNA379613"	"SAMN06615968"	32170091	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2652126"	"GSM2542834"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355203"	"GSM2542136"	"singles-BM0828-MEP-160420-8"	"MEP"	"BM0828"	"ATAC-seq"	152	77346112	"PRJNA379613"	"SAMN06615374"	31898340	"GEO"	"public"	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2651428"	"GSM2542136"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356003"	"GSM2542936"	"singles-160808-scATAC-BM1137-GMP2mid-LS-40"	"GMP"	"BM1137"	"ATAC-seq"	152	65111328	"PRJNA379613"	"SAMN06615187"	25908838	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2652228"	"GSM2542936"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354707"	"GSM2541635"	"singles-20160726-scATAC-BM1214-CMP-LS-83"	"CMP"	"BM1214"	"ATAC-seq"	152	48957680	"PRJNA379613"	"SAMN06614678"	20656434	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2650932"	"GSM2541635"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354356"	"GSM2541278"	"singles-20160617-scATAC-BM1077-CMP-HYC-20"	"CMP"	"BM1077"	"ATAC-seq"	152	72194528	"PRJNA379613"	"SAMN06614561"	28494197	"GEO"	"public"	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2650581"	"GSM2541278"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354840"	"GSM2541768"	"BM1077-GMP-Frozen-160107-24"	"GMP"	"BM1077"	"ATAC-seq"	152	72998608	"PRJNA379613"	"SAMN06616130"	24370525	"GEO"	"public"	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2651065"	"GSM2541768"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355652"	"GSM2542585"	"singles-160818-BM1137-pDC-LS-73"	"pDC"	"BM1137"	"ATAC-seq"	152	57108224	"PRJNA379613"	"SAMN06616013"	21186023	"GEO"	"public"	"fastq,sra"	"s3,gs"	"gs.US,s3.us-east-1"	"SRX2651877"	"GSM2542585"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356111"	"GSM2543044"	"singles-20160726-scATAC-BM1137-GMP3high-HYC-52"	"GMP"	"BM1137"	"ATAC-seq"	152	81478536	"PRJNA379613"	"SAMN06614929"	33060056	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2652336"	"GSM2543044"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356137"	"GSM2543070"	"singles-20160726-scATAC-BM1137-GMP3high-HYC-78"	"GMP"	"BM1137"	"ATAC-seq"	152	48216680	"PRJNA379613"	"SAMN06614909"	20518146	"GEO"	"public"	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2652362"	"GSM2543070"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355364"	"GSM2542297"	"singles-MEP-141017-73"	"MEP"	"BM4983"	"ATAC-seq"	152	160739392	"PRJNA379613"	"SAMN06615499"	67126941	"GEO"	"public"	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2651589"	"GSM2542297"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5353503"	"GSM2540425"	"singles-BM0106-HSC-LS-160219-31"	"HSC"	"BM0106"	"ATAC-seq"	152	68554584	"PRJNA379613"	"SAMN06613529"	28626267	"GEO"	"public"	"sra,fastq"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2649728"	"GSM2540425"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5356089"	"GSM2543022"	"singles-20160726-scATAC-BM1137-GMP3high-HYC-30"	"GMP"	"BM1137"	"ATAC-seq"	152	59064920	"PRJNA379613"	"SAMN06615103"	23699679	"GEO"	"public"	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2652314"	"GSM2543022"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5354259"	"GSM2541181"	"singles-160819-BM1137-CMP-LS-19"	"CMP"	"BM1137"	"ATAC-seq"	152	52093592	"PRJNA379613"	"SAMN06613816"	19171677	"GEO"	"public"	"fastq,sra"	"gs,s3"	"s3.us-east-1,gs.US"	"SRX2650484"	"GSM2541181"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355599"	"GSM2542532"	"singles-160818-BM1137-pDC-LS-20"	"pDC"	"BM1137"	"ATAC-seq"	152	50607640	"PRJNA379613"	"SAMN06615736"	18878470	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2651824"	"GSM2542532"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5355247"	"GSM2542180"	"singles-BM0828-MEP-160420-52"	"MEP"	"BM0828"	"ATAC-seq"	152	90657208	"PRJNA379613"	"SAMN06615329"	36293213	"GEO"	"public"	"fastq,sra"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2651472"	"GSM2542180"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
"SRR5353758"	"GSM2540680"	"singles-BM0828-HSC-fresh-151027-94"	"HSC"	"BM0828"	"ATAC-seq"	152	62083032	"PRJNA379613"	"SAMN06614529"	23936052	"GEO"	"public"	"sra,fastq"	"s3,gs"	"s3.us-east-1,gs.US"	"SRX2649983"	"GSM2540680"	"NextSeq 500"	"PAIRED"	"other"	"GENOMIC"	"Homo sapiens"	"ILLUMINA"	"2018-04-29T00:00:00Z"	"Bone Marrow CD34+"	"SRP102089"	FALSE
